,Source Article,Authors,Referenced Article,Venue,Year
0,chouldechova18a,"Julia Angwin, Jeff Larson, Surya Mattu, and Lauren Kirchner",How we analyzed the compas recidivism algorithm,2016. URL https://www.propublica.org/article/ how-we-analyzed-the-compas-recidivism-algorithm,2016
1,chouldechova18a,"American Educational Research Association, American Psychological Association, National Council on Measurement in Education, et al",Standards for educational and psychological testing,"American Educational Research Association, 1999",1999
2,chouldechova18a,"Richard Berk, Hoda Heidari, Shahin Jabbari, Michael Kearns, and Aaron Roth",Fairness in criminal justice risk assessments: The state of the art,"arXiv preprint arXiv:1703.09207, 2017",2017
3,chouldechova18a,"John Billings, Ian Blunt, Adam Steventon, Theo Georghiou, Geraint Lewis, and Martin Bardsley",Development of a predictive model to identify inpatients at risk of re-admission within 30 days of discharge (parr-30),"BMJ open, 2(4): e001667, 2012",2012
4,chouldechova18a,Leo Breiman,Random forests,"Machine learning, 45(1):5–32, 2001",2001
5,chouldechova18a,Chih-Chung Chang and Chih-Jen Lin,Libsvm: a library for support vector machines,"ACM transactions on intelligent systems and technology (TIST), 2(3):27, 2011",2011
6,chouldechova18a,Tianqi Chen and Carlos Guestrin,Xgboost: A scalable tree boosting system,"In Proceedings of the 22nd acm sigkdd international conference on knowledge discovery and data mining, pages 785–794. ACM, 2016",2016
7,chouldechova18a,Alexandra Chouldechova,Fair prediction with disparate impact: A study of bias in recidivism prediction instruments,"Big Data, 2017",2017
8,chouldechova18a,Alexandra Chouldechova and Max G’Sell,"Fairer and more accurate, but for whom? arXiv preprint arXiv:1707","00046, 2017",2017
9,chouldechova18a,"Sam Corbett-Davies, Emma Pierson, Avi Feller, Sharad Goel, and Aziz Huq",Algorithmic decision making and the cost of fairness,"arXiv preprint arXiv:1701.08230, 2017",2017
10,chouldechova18a,"Robyn M Dawes, David Faust, and Paul E Meehl",Clinical versus actuarial judgment,"Science, 243(4899):1668–1674, 1989",1989
11,chouldechova18a,"Alan J Dettlaff, Stephanie L Rivaux, Donald J Baumann, John D Fluke, Joan R Rycraft, and Joyce James","Disentangling substantiation: The influence of race, income, and risk on the substantiation decision in child welfare","Children and Youth Services Review, 33(9):1630– 1637, 2011",1637
12,chouldechova18a,"William Dieterich, Christina Mendoza, and Tim Brennan",Compas risk scales: Demonstrating accuracy equity and predictive parity,"2016. John Fluke, Brenda Jones Harden, Molly Jenkins, and Ashleigh Reuhrdanz. Disparities and disproportionality in child welfare: Analysis of the research. 2011",2016
13,chouldechova18a,"William M Grove, David H Zald, Boyd S Lebow, Beth E Snitz, and Chad Nelson",Clinical versus mechanical prediction: a meta-analysis,"Psychological assessment, 12(1):19, 2000",2000
14,chouldechova18a,"Hyunil Kim, Christopher Wildeman, Melissa Jonson-Reid, and Brett Drake",Lifetime prevalence of investigating child maltreatment among us children,"American Journal of Public Health, 107(2):274 – 280, 2017. ISSN 00900036",2017
15,chouldechova18a,"Jon Kleinberg, Sendhil Mullainathan, and Manish Raghavan",Inherent trade-offs in the fair determination of risk scores,"arXiv preprint arXiv:1609.05807, 2016",2016
16,chouldechova18a,"Jon Kleinberg, Himabindu Lakkaraju, Jure Leskovec, Jens Ludwig, and Sendhil Mullainathan",Human decisions and machine predictions,"Working Paper 23180, National Bureau of Economic Research, February 2017",2017
17,chouldechova18a,Zachary C Lipton,The mythos of model interpretability,"arXiv preprint arXiv:1606.03490, 2016",2016
18,chouldechova18a,Paul E Meehl,Clinical versus statistical prediction: A theoretical analysis and a review of the evidence,1954,1954
19,chouldechova18a,"Laura E Panattoni, Rhema Vaithianathan, Toni Ashton, and Geraint H Lewis",Predictive risk modelling in health: options for new zealand and australia,"Australian Health Review, 35 (1):45–51, 2011",2011
20,chouldechova18a,John Platt et al,Probabilistic outputs for support vector machines and comparisons to regularized likelihood methods,"Advances in large margin classifiers, 10(3):61–74, 1999",1999
21,chouldechova18a,Ravi Shroff,Predictive analytics for city agencies: Lessons from children’s services,"Big Data, 2017",2017
22,chouldechova18a,Jennifer L Skeem and Christopher T Lowenkamp,"Risk, race, and recidivism: predictive bias and disparate impact","Criminology, 54(4):680–712, 2016",2016
23,chouldechova18a,"Rhema Vaithianathan, Tim Maloney, Emily Putnam-Hornstein, and Nan Jiang",Children in the public benefit system at risk of maltreatment: Identification via predictive modeling,"American journal of preventive medicine, 45 (3):354–359, 2013",2013
24,chouldechova18a,Vladimir Vapnik,Statistical learning theory,"Wiley, New York, 1998",1998
0,ekstrand18a,Gediminas Adomavicius and Alexander Tuzhilin,Toward the next generation of recommender systems: A survey of the state-of-the-art and possible extensions,"IEEE transactions on knowledge and data engineering, 17(6):734– 749, 2005",2005
1,ekstrand18a,Charu C Aggarwal,On k-anonymity and the curse of dimensionality,"In Proceedings of the 31st international conference on Very large data bases, pages 901–909. VLDB Endowment, 2005",2005
2,ekstrand18a,"James Bennett, Stan Lanning, et al",The netflix prize,"In Proceedings of KDD cup and workshop, volume 2007, page 35. New York, NY, USA, 2007",2007
3,ekstrand18a,"Raghav Bhaskar, Srivatsan Laxman, Adam Smith, and Abhradeep Thakurta",Discovering frequent patterns in sensitive data,"In Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining, pages 503–512. ACM, 2010",2010
4,ekstrand18a,"Paul R Billings, Mel A Kohn, Margaret De Cuevas, Jonathan Beckwith, Joseph S Alper, and Marvin R Natowicz",Discrimination as a consequence of genetic testing,"American journal of human genetics, 50(3):476, 1992",1992
5,ekstrand18a,Board of Governors of the Federal Reserve System,Report to the congress on credit scoring and its effects on the availability and affordability of credit,"Technical report, U.S. Federal Reserve, August 2007",2007
6,ekstrand18a,Luca Bonomi and Li Xiong,Mining frequent patterns with differential privacy,"Proceedings of the VLDB Endowment, 6(12):1422–1427, 2013",2013
7,ekstrand18a,Robin Burke,Multisided fairness for recommendation,"arXiv preprint arXiv:1707.00093, 2017",2017
8,ekstrand18a,"Joseph A Calandrino, Ann Kilzer, Arvind Narayanan, Edward W Felten, and Vitaly Shmatikov",” you might also like:” privacy risks of collaborative filtering,"In Security and Privacy (SP), 2011 IEEE Symposium on, pages 231–246. IEEE, 2011",2011
9,ekstrand18a,Ramnath K Chellappa and Raymond G Sin,Personalization versus privacy: An empirical examination of the online consumer’s dilemma,"Information technology and management, 6(2): 181–202, 2005",2005
10,ekstrand18a,Alexandra Chouldechova,Fair prediction with disparate impact: A study of bias in recidivism prediction instruments,"arXiv preprint arXiv:1703.00056, 2017",2017
11,ekstrand18a,Bart Custers,Data dilemmas in the information society: Introduction and overview,"Discrimination and Privacy in the Information Society, pages 3–26, 2013",2013
12,ekstrand18a,Cynthia Dwork and Deirdre K Mulligan,"It’s not privacy, and it’s not fair","Stan. L. Rev. Online, 66:35, 2013",2013
13,ekstrand18a,"Cynthia Dwork, Moritz Hardt, Toniann Pitassi, Omer Reingold, and Richard Zemel",Fairness through awareness,"In Proceedings of the 3rd Innovations in Theoretical Computer Science Conference, pages 214–226. ACM, 2012",2012
14,ekstrand18a,"Cynthia Dwork, Aaron Roth, et al",The algorithmic foundations of differential privacy,"Foundations and Trends R© in Theoretical Computer Science, 9(3–4):211–407, 2014",2014
15,ekstrand18a,"Michael D Ekstrand, John T Riedl, Joseph A Konstan, et al",Collaborative filtering recommender systems,"Foundations and Trends R© in Human–Computer Interaction, 4(2):81–173, 2011",2011
16,ekstrand18a,Ashley Feinberg,"This is almost certainly james comey’s twitter account, 2017",https://gizmodo.com/this-is-almost-certainlyjames-comey-s-twitter-account-1793843641 Accessed: 2017-10-5,2017
17,ekstrand18a,"Michael Feldman, Sorelle A Friedler, John Moeller, Carlos Scheidegger, and Suresh Venkatasubramanian",Certifying and removing disparate impact,"In Proceedings of the 21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining, pages 259–268. ACM, 2015",2015
18,ekstrand18a,Organisation for Economic Co-operation and Development,OECD Guidelines on the Protection of Privacy and Transborder Flows of Personal Data,"OECD Publishing, 2002",2002
19,ekstrand18a,Ursula Franklin,The real world of technology,"House of Anansi, 1999",1999
20,ekstrand18a,"Dan Frankowski, Dan Cosley, Shilad Sen, Loren Terveen, and John Riedl",You are what you say: privacy risks of public mentions,"In Proceedings of the 29th annual international ACM SIGIR conference on Research and development in information retrieval, pages 565–572. ACM, 2006",2006
21,ekstrand18a,"Sorelle A Friedler, Carlos Scheidegger, and Suresh Venkatasubramanian",On the (im) possibility of fairness,"arXiv preprint arXiv:1609.07236, 2016",2016
22,ekstrand18a,Arik Friedman and Assaf Schuster,Data mining with differential privacy,"In Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining, pages 493–502. ACM, 2010",2010
23,ekstrand18a,Ruth Gavison,Privacy and the limits of law,"The Yale Law Journal, 89(3):421–471, 1980",1980
24,ekstrand18a,Bryce W Goodman,A step towards accountable algorithms? algorithmic discrimination and the european union general data protection,"In 29th Conference on Neural Information Processing Systems (NIPS 2016), Barcelona. NIPS Foundation, 2016",2016
25,ekstrand18a,Larry Gostin,Genetic discrimination: the use of genetically based diagnostic and prognostic tests by employers and insurers,"Am. JL & Med., 17:109, 1991",1991
26,ekstrand18a,Jamal Greene,The so-called right to privacy,"UC Davis L. Rev., 43:715, 2009",2009
27,ekstrand18a,"Sara Hajian, Josep Domingo-Ferrer, Anna Monreale, Dino Pedreschi, and Fosca Giannotti",Discrimination-and privacy-aware patterns,"Data Mining and Knowledge Discovery, 29(6):1733–1782, 2015",2015
28,ekstrand18a,"Sara Hajian, Francesco Bonchi, and Carlos Castillo",Algorithmic bias: from discrimination discovery to fairness-aware data mining,"In Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining, pages 2125–2126. ACM, 2016",2016
29,ekstrand18a,Mireille Hildebrandt,"Location data, purpose binding and contextual integrity: Whats the message","In Protection of Information and the Right to Privacy-A New Equilibrium?, pages 31–62. Springer, 2014",2014
30,ekstrand18a,"A A Hintoglu, A Inan, Y Saygin, and M Keskinoz",Suppressing data sets to prevent discovery of association rules,"In Fifth IEEE International Conference on Data Mining (ICDM’05), pages 4 pp.–. ieeexplore.ieee.org, November 2005",2005
31,ekstrand18a,Faisal Kamiran and Toon Calders,Classifying without discriminating,"In Computer, Control and Communication, 2009. IC4 2009. 2nd International Conference on, pages 1–6. IEEE, 2009",2009
32,ekstrand18a,"Faisal Kamiran, Toon Calders, and Mykola Pechenizkiy",Discrimination aware decision tree learning,"In Data Mining (ICDM), 2010 IEEE 10th International Conference on, pages 869– 874. IEEE, 2010",2010
33,ekstrand18a,"Asmita Kashid, Vrushali Kulkarni, and Ruhi Patankar",Discrimination prevention using privacy preserving techniques,"International Journal of Computer Applications, 120(1), 2015",2015
34,ekstrand18a,"Asmita Kashid, Vrushali Kulkarni, and Ruhi Patankar",Discrimination-aware data mining: a survey,"International Journal of Data Science, 2(1):70–84, 2017",2017
35,ekstrand18a,"Jon Kleinberg, Sendhil Mullainathan, and Manish Raghavan",Inherent trade-offs in the fair determination of risk scores,"arXiv preprint arXiv:1609.05807, 2016",2016
36,ekstrand18a,"Nicholas D Lane, Junyuan Xie, Thomas Moscibroda, and Feng Zhao",On the feasibility of user de-anonymization from shared mobile sensor data,"In Proceedings of the Third International Workshop on Sensing Applications on Mobile Phones, page 3. ACM, 2012",2012
37,ekstrand18a,Jaewoo Lee and Chris Clifton,How much is enough? choosing e for differential privacy,"Information Security, 7001:325–340, 2011",2011
38,ekstrand18a,"Ninghui Li, Wahbeh Qardaji, Dong Su, and Jianneng Cao",Privbasis: Frequent itemset mining with differential privacy,"Proceedings of the VLDB Endowment, 5(11):1340–1351, 2012",2012
39,ekstrand18a,"Yang Liu, Goran Radanovic, Christos Dimitrakakis, Debmalya Mandal, and David C Parkes",Calibrated fairness in bandits,"arXiv preprint arXiv:1707.01875, 2017",2017
40,ekstrand18a,"Binh Thanh Luong, Salvatore Ruggieri, and Franco Turini",k-nn as an implementation of situation testing for discrimination discovery and prevention,"In Proceedings of the 17th ACM SIGKDD international conference on Knowledge discovery and data mining, pages 502–510. ACM, 2011",2011
41,ekstrand18a,Jacob M Miracle,De-Anonymization Attack Anatomy and Analysis of Ohio Nursing Workforce Data Anonymization,"PhD thesis, Wright State University, 2016",2016
