,Source Article,Authors,Referenced Article,Venue,Year
6,3351095.3372828,"Lisa Feldman Barrett, Ralph Adolphs, Stacy Marsella, Aleix M Martinez, and Seth D Pollak",Emotional expressions reconsidered: Challenges to inferring emotion from human facial movements,"Psychological science in the public interest 20, 1 (2019), 1–68",2019
7,3351095.3372828,"Shai Ben-David, John Blitzer, Koby Crammer, Alex Kulesza, Fernando Pereira, and Jennifer Wortman Vaughan",A theory of learning from different domains,"Machine learning 79, 1-2 (2010), 151–175",2010
8,3351095.3372828,Marc Bendick and Ana P Nunes,Developing the research basis for controlling bias in hiring,"Journal of Social Issues 68, 2 (2012), 238–262",2012
9,3351095.3372828,"Marc Bendick Jr, Charles W Jackson, and J Horacio Romero",Employment discrimination against older workers: An experimental study of hiring practices,"Journal of Aging & Social Policy 8, 4 (1997), 25–46",1997
10,3351095.3372828,Jason R Bent,Is Algorithmic Affirmative Action Legal? Georgetown Law Journal 108 (2020),,2020
11,3351095.3372828,Marianne Bertrand and Sendhil Mullainathan,Are Emily and Greg more employable than Lakisha and Jamal? A field experiment on labor market discrimination,"American economic review 94, 4 (2004), 991–1013",2004
12,3351095.3372828,Daniel A Biddle,"Are the uniform guidelines outdated? Federal guidelines, professional standards, and validity generalization (VG)","The IndustrialOrganizational Psychologist 45, 4 (2008), 17–23",2008
13,3351095.3372828,Miranda Bogen and Aaron Rieke,"Help Wanted: An Exploration of Hiring Algorithms, Equity, and Bias","Technical Report. Upturn. https://www.upturn.org/static/reports/2018/hiring-algorithms/files/Upturn% 20--%20Help%20Wanted%20-%20An%20Exploration%20of%20Hiring% 20Algorithms,%20Equity%20and%20Bias.pdf",2018
14,3351095.3372828,Stephanie Bornstein,Antidiscriminatory Algorithms,"Ala. L. Rev. 70 (2018), 519",2018
15,3351095.3372828,Joy Buolamwini and Timnit Gebru,Gender shades: Intersectional accuracy disparities in commercial gender classification,"In Conference on Fairness, Accountability and Transparency. 77–91",2018
16,3351095.3372828,"Peter Cappelli, Prasanna Tambe, and Valery Yakubovich",Artificial Intelligence in Human Resources Management: Challenges and a Path Forward,Available at SSRN 3263878 (2018),2018
17,3351095.3372828,"L. Elisa Celis, Damian Straszak, and Nisheeth K. Vishnoi",Ranking with Fairness Constraints,"In 45th International Colloquium on Automata, Languages, and Programming, ICALP 2018, July 9-13, 2018, Prague, Czech Republic. 28:1–28:15. https://doi.org/10.4230/LIPIcs.ICALP.2018.28",2018
18,3351095.3372828,"Tomas Chamorro-Premuzic, Dave Winsborough, Ryne A Sherman, and Robert Hogan","New talent signals: Shiny new objects or a brave new world? Industrial and Organizational Psychology 9, 3 (2016), 621–640",,2016
19,3351095.3372828,Tomas Chamorro-Prezumic and Reece Akhtar,Should Companies Use AI to Assess Job Candidates? Harvard Business Review (2019),,2019
20,3351095.3372828,Richard M Cohn,On the Use of Statistics in Employment Discrimination Cases,"Ind. LJ 55 (1979), 493",1979
21,3351095.3372828,Richard M Cohn,Statistical Laws and the Use of Statistics in Law: A Rejoinder to Professor Shoben,"Ind. LJ 55 (1979), 537",1979
22,3351095.3372828,"Equal Employment Opportunity Commission, Civil Service Commission, et al",Uniform guidelines on employee selection procedures,"Federal Register 43, 166 (1978), 38290–38315",1978
23,3351095.3372828,U.S. Congress,Civil Rights Act,,1964
24,3351095.3372828,U.S. Congress,Americans with Disabilities Act,,1990
25,3351095.3372828,U.S. Congress,Civil Rights Act,,1991
26,3351095.3372828,"Sam Corbett-Davies, Emma Pierson, Avi Feller, Sharad Goel, and Aziz Huq",Algorithmic decision making and the cost of fairness,"In Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining. ACM, 797–806",2017
27,3351095.3372828,National Research Council et al,"Fairness in employment testing: Validity generalization, minority issues, and the General Aptitude Test Battery",National Academies Press,1989
28,3351095.3372828,National Research Council et al,New directions in assessing performance potential of individuals and groups: Workshop summary,National Academies Press,2013
29,3351095.3372828,Bo Cowgill,Bias and Productivity in Humans and Algorithms: Theory and Evidence from Resume Screening,"Columbia Business School, Columbia University 29 (2018)",2018
30,3351095.3372828,Hamilton Cravens,"The triumph of evolution: The heredity–environment controversy, 1900–1941",Johns Hopkins University Press,1978
31,3351095.3372828,Philip Hunter DuBois,A history of psychological testing,Allyn and Bacon,1970
32,3351095.3372828,Marvin D Dunnette and Walter C Borman,Personnel selection and classification systems,"Annual review of psychology 30, 1 (1979), 477–525",1979
33,3351095.3372828,Harrison Edwards and Amos J. Storkey,Censoring Representations with an Adversary,"In 4th International Conference on Learning Representations, ICLR 2016, San Juan, Puerto Rico, May 2-4, 2016, Conference Track Proceedings",2016
34,3351095.3372828,"Michael Feldman, Sorelle A Friedler, JohnMoeller, Carlos Scheidegger, and Suresh Venkatasubramanian",Certifying and removing disparate impact,"In Proceedings of the 21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining. ACM, 259–268",2015
35,3351095.3372828,"Society for Industrial, Organizational Psychology (US), and American Psychological Association. Division of Industrial-Organizational Psychology",Principles for the validation and use of personnel selection procedures,American Psychological Association,2018
36,3351095.3372828,"Jerome Friedman, Trevor Hastie, and Robert Tibshirani",The elements of statistical learning,Springer series in statistics New York,2001
37,3351095.3372828,Jim Fruchterman and Joan Melllea,Expanding Employment Success for People with Disabilities,Technical Report. benetech,2018
38,3351095.3372828,Stacia Sherman Garr and Carole Jackson,Diversity & Inclusion Technology: The Rise of a TransformativeMarket,Technical Report. RedThread Research. https: //info.mercer.com/rs/521-DEV-513/images/Mercer_DI_Report_Digital.pdf,2019
39,3351095.3372828,PW Gerhardt,Scientific selection of employees,Electric Railway Journal 47 (1916),1916
40,3351095.3372828,"Sahin Cem Geyik, Stuart Ambler, and Krishnaram Kenthapadi",FairnessAware Ranking in Search & Recommendation Systems with Application to LinkedIn Talent Search,In Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining. ACM,2019
41,3351095.3372828,Jeff Grimmett,Veterinary Practitioners - personal characteristics and professional longevity,VetScript (2017),2017
42,3351095.3372828,"Anhong Guo, Ece Kamar, Jennifer Wortman Vaughan, Hannah Wallach, and Meredith Ringel Morris",Toward Fairness in AI for People with Disabilities: A Research Roadmap,ACM SIGACCESS 125 (October 2019),2019
43,3351095.3372828,"Richard A Guzzo, Alexis A Fink, Eden King, Scott Tonidandel, and Ronald S Landis",Big data recommendations for industrial–organizational psychology,"Industrial and Organizational Psychology 8, 4 (2015), 491–508",2015
44,3351095.3372828,Craig Haney,Employment tests and employment discrimination: A dissenting psychological opinion,"Indus. Rel. LJ 5 (1982), 1",1982
45,3351095.3372828,"Kamala D. Harris, Patty Murray, and Elizabeth Warren",Letter to U,S. Equal Employment Opportunity Commission. https://www.scribd.com/embeds/ 388920670/content#from_embed,2018
46,3351095.3372828,Deborah Hellman,Measuring Algorithmic Fairness,Virginia Public Law and Legal Theory Research Paper 2019-39 (2019),2019
47,3351095.3372828,Kimberly Houser,Can AI solve the diversity problem in the tech industry? Mitigating noise and bias in employment decision-making,Stanford Technology Law Review 22 (2019),2019
48,3351095.3372828,Amy E. Hurley-Hanson and Cristina M. Giannantonio (Eds.),Journal of Business Management,"22, 1 (2016)",2016
49,3351095.3372828,Ben Hutchinson and Margaret Mitchell,50 Years of Test (Un) fairness: Lessons for Machine Learning,"In Proceedings of the Conference on Fairness, Accountability, and Transparency. ACM, 49–58",2019
50,3351095.3372828,Josh Jarrett and Sarah Croft,The Science Behind The Koru Model of Predictive Hiring for Fit,Technical Report. Koru,2018
51,3351095.3372828,"Stefanie K Johnson, David R Hekman, and Elsa T Chan","If there’s only one woman in your candidate pool, there’s statistically no chance she’ll be hired","Harvard Business Review 26, 04 (2016)",2016
52,3351095.3372828,William F Kemble,Testing the fitness of your employees,Industrial Management (1916),1916
53,3351095.3372828,Pauline T Kim,Data-driven discrimination at work,"Wm. & Mary L. Rev. 58 (2016), 857",2016
54,3351095.3372828,Pauline T Kim,Auditing algorithms for discrimination,"U. Pa. L. Rev. Online 166 (2017), 189",2017
55,3351095.3372828,Pauline T Kim,Big Data and Artificial Intelligence: New Challenges for Workplace Equality,"U. Louisville L. Rev. 57 (2018), 313",2018
56,3351095.3372828,Pauline T Kim,Manipulating Opportunity,Virginia Law Review 106 (2020),2020
57,3351095.3372828,"Jon Kleinberg, Himabindu Lakkaraju, Jure Leskovec, Jens Ludwig, and Sendhil Mullainathan",Human decisions and machine predictions,"The Quarterly Journal of Economics 133, 1 (2017), 237–293",2017
58,3351095.3372828,"Jon Kleinberg, Jens Ludwig, Sendhil Mullainathan, and Cass R Sunstein",Discrimination in the Age of Algorithms,Journal of Legal Analysis (2019),2019
59,3351095.3372828,Robin SS Kramer and Robert Ward,Internal facial features are signals of personality and health,"The Quarterly Journal of Experimental Psychology 63, 11 (2010), 2273–2287",2010
60,3351095.3372828,"Joshua A Kroll, Solon Barocas, Edward W Felten, Joel R Reidenberg, David G Robinson, and Harlan Yu",Accountable algorithms,"U. Pa. L. Rev. 165 (2016), 633",2016
61,3351095.3372828,California State Legislature,Fair Employment and Housing Act,,1959
62,3351095.3372828,"Zachary Lipton, Julian McAuley, and Alexandra Chouldechova",Does mitigating ML’s impact disparity require treatment disparity?,In Advances in Neural Information Processing Systems. 8125–8135,2018
63,3351095.3372828,George F Madaus and Marguerite Clarke,The Adverse Impact of High Stakes Testing on Minority Students: Evidence from 100 Years of Test Data,Technical Report. ERIC,2001
64,3351095.3372828,"David Madras, Elliot Creager, Toniann Pitassi, and Richard Zemel",Learning Adversarially Fair and Transferable Representations,"In Proceedings of the 35th International Conference on Machine Learning, Vol. 80. PMLR, Stockholmsmässan, Stockholm Sweden, 3384–3393",2018
65,3351095.3372828,Andrew Mariotti,Talent Acquisition Benchmarking Report,Technical Report. Society for Human Resource Management. https://www.shrm.org/hrtoday/trends-and-forecasting/research-and-surveys/Documents/2017-TalentAcquisition-Benchmarking.pdf,2017
66,3351095.3372828,"Michael A Mcdaniel, Sven Kepes, and George C Banks",The Uniform Guidelines are a detriment to the field of personnel selection,"Industrial and Organizational Psychology 4, 4 (2011), 494–514",2011
67,3351095.3372828,Hugo Munsterberg,Psychology and industrial efficiency,Vol. 49. A&C Black,1998
68,3351095.3372828,Isabel Briggs Myers,The Myers-Briggs type indicator,Consulting Psychologists Press,1962
69,3351095.3372828,"David Neumark, Roy J Bank, and Kyle D Van Nort",Sex discrimination in restaurant hiring: An audit study,"The Quarterly journal of economics 111, 3 (1996), 915–941",1996
70,3351095.3372828,Warren T Norman,Toward an adequate taxonomy of personality attributes: Replicated factor structure in peer nomination personality ratings,"The Journal of Abnormal and Social Psychology 66, 6 (1963), 574",1963
71,3351095.3372828,Samir Passi and Solon Barocas,Problem Formulation and Fairness,"In Proceedings of the Conference on Fairness, Accountability, and Transparency. ACM, 39–48",2019
72,3351095.3372828,"Dino Pedreshi, Salvatore Ruggieri, and Franco Turini",Discrimination-aware data mining,"In Proceedings of the 14th ACM SIGKDD international conference on Knowledge discovery and data mining. ACM, 560–568",2008
73,3351095.3372828,Ruchir Puri,Mitigating Bias in AI Models,IBM Research Blog (2018),2018
74,3351095.3372828,"Lincoln Quillian, Devah Pager, Ole Hexel, and Arnfinn H Midtbøen",Metaanalysis of field experiments shows no change in racial discrimination in hiring over time,"Proceedings of the National Academy of Sciences 114, 41 (2017), 10870– 10875",2017
