chouldechova18a,A case study of algorithm-assisted decision making in child maltreatment hotline screening decisions
ekstrand18a,Privacy for All: Ensuring Fair and Equitable Privacy Protections
burke18a,Balanced Neighborhoods for Multi-sided Fairness in Recommendation
barabas18a,Interventions over Predictions: Reframing the Ethical Debate for Actuarial Risk Assessment
ensign18a,Runaway Feedback Loops in Predictive Policing
binns18a,Fairness in Machine Learning: Lessons from Political Philosophy
buolamwini18a,Gender Shades: Intersectional Accuracy Disparities in Commercial Gender Classification
ekstrand18b,"All The Cool Kids, How Do They Fit In? Popularity and Demographic Biases in Recommender Evaluation and Effectiveness"
speicher18a,Potential for Discrimination in Online Targeted Advertising
datta18a,Discrimination in Online Advertising: A Multidisciplinary Inquiry
dwork18a,Decoupled Classifiers for Group-Fair and Efficient Machine Learning
kamishima18a,Recommendation Independence
menon18a,The Cost of Fairness in Binary Classification
madaan18a,"Analyze, Detect and Remove Gender Stereotyping from Bollywood Movies"
phillips18a,Interpretable Active Learning
3287560.3287574.txt,Explaining Explanations in AI
3287560.3287599.txt,From Fair Decision Making To Social Equality
3287560.3287576.txt,The Social Cost of Strategic Classification
3287560.3287584.txt,A Moral Framework for Understanding Fair ML through Economic Models of Equality of Opportunity
3287560.3287566.txt,Actionable Recourse in Linear Classification
3287560.3287596.txt,Model Cards for Model Reporting
3287560.3287586.txt,Classification with Fairness Constraints: A Meta-Algorithm with Provable Guarantees
3287560.3287570.txt,Equality of Voice: Towards Fair Representation in Crowdsourced Top-K Recommendations
3287560.3287591.txt,Robot Eyes Wide Shut: Understanding Dishonest Anthropomorphism
3287560.3287585.txt,"Clear Sanctions, Vague Rewards: How China’s Social Credit System Currently Defines “Good” and “Bad” Behavior"
3287560.3287572.txt,Bias in Bios: A Case Study of Semantic Representation Bias in a High-Stakes Setting
3287560.3287577.txt,Beyond Open vs. Closed: Balancing Individual Privacy and Public Accountability in Data Sharing
3287560.3287571.txt,Fair Algorithms for Learning in Allocation Problems
3287560.3287568.txt,The Profiling Potential of Computer Vision and the Challenge of Computational Empiricism
3287560.3287578.txt,Downstream Effects of Affirmative Action
3287560.3287595.txt,Deep Weighted Averaging Classifiers
3287560.3287587.txt,A Taxonomy of Ethical Tensions in Inferring Mental Health States from Social Media
3287560.3287597.txt,The Disparate Effects of Strategic Manipulation
3287560.3287583.txt,SIREN: A Simulation Framework for Understanding the Effects of Recommender Systems in Online News Environments
3287560.3287594.txt,Fairness Under Unawareness: Assessing Disparity When Protected Class Is Unobserved
3287560.3287580.txt,On Microtargeting Socially Divisive Ads: A Case Study of Russia-Linked Ad Campaigns on Facebook
3287560.3287575.txt,Racial categories in machine learning
3287560.3287588.txt,Fairness-Aware Programming
3287560.3287562.txt,Model Reconstruction from Model Explanations
3287560.3287567.txt,Problem Formulation and Fairness
3287560.3287592.txt,An Empirical Study of Rich Subgroup Fairness for Machine Learning
3287560.3287590.txt,On Human Predictions with Explanations and Predictions of Machine Learning Models: A Case Study on Deception Detection
3287560.3287589.txt,A comparative study of fairness-enhancing interventions in machine learning
3287560.3287579.txt,Access to Population-Level Signaling as a Source of Inequality
3287560.3287601.txt,Controlling Polarization in Personalization: An Algorithmic Framework
3287560.3287565.txt,Who’s the Guinea Pig? Investigating Online A/B/n Tests in-the-Wild
3287560.3287564.txt,Fairness through Causal Awareness: Learning Causal Latent-Variable Models for Biased Data
3287560.3287573.txt,Measuring the Biases that Matter: The Ethical and Casual Foundations for Measures of Fairness in Algorithms
3287560.3287561.txt,From Soft Classifiers to Hard Decisions: How fair can we be?
3287560.3287598.txt,Fairness and Abstraction in Sociotechnical Systems
3287560.3287569.txt,Efficient Search for Diverse Coherent Explanations
3287560.3287563.txt,Disparate Interactions: An Algorithm-in-the-Loop Analysis of Fairness in Risk Assessments
3287560.3287600.txt,50 Years of Test (Un)fairness: Lessons for Machine Learning
